Token               	Line Number         	Type                
import              	3                   	Keyword             
                    	3                   	Whitespace          
scipy               	3                   	Identifier          
def                 	4                   	Keyword             
                    	4                   	Whitespace          
f                   	4                   	Identifier          
(                   	4                   	LBracket            
)                   	4                   	RBracket            
:                   	4                   	Colon               
	                   	5                   	Tab                 
x                   	5                   	Identifier          
                    	5                   	Whitespace          
=                   	5                   	Equals              
                    	5                   	Whitespace          
1                   	5                   	Literal             
x                   	7                   	Identifier          
                    	7                   	Whitespace          
=                   	7                   	Equals              
                    	7                   	Whitespace          
2                   	7                   	Literal             
y                   	8                   	Identifier          
                    	8                   	Whitespace          
=                   	8                   	Equals              
                    	8                   	Whitespace          
1                   	8                   	Literal             
a                   	10                  	Identifier          
                    	10                  	Whitespace          
=                   	10                  	Equals              
                    	10                  	Whitespace          
3                   	10                  	Literal             
b                   	11                  	Identifier          
                    	11                  	Whitespace          
=                   	11                  	Equals              
                    	11                  	Whitespace          
4                   	11                  	Literal             
c                   	12                  	Identifier          
                    	12                  	Whitespace          
=                   	12                  	Equals              
                    	12                  	Whitespace          
2                   	12                  	Literal             
d                   	13                  	Identifier          
                    	13                  	Whitespace          
=                   	13                  	Equals              
                    	13                  	Whitespace          
a                   	13                  	Identifier          
+                   	13                  	Plus                
b                   	13                  	Identifier          
if                  	15                  	Keyword             
(                   	15                  	LBracket            
x                   	15                  	Identifier          
=                   	15                  	Equals              
=                   	15                  	Equals              
1                   	15                  	Literal             
)                   	15                  	RBracket            
:                   	15                  	Colon               
	                   	16                  	Tab                 
c                   	16                  	Identifier          
=                   	16                  	Equals              
1                   	16                  	Literal             
elif                	17                  	Keyword             
(                   	17                  	LBracket            
y                   	17                  	Identifier          
=                   	17                  	Equals              
=                   	17                  	Equals              
1                   	17                  	Literal             
)                   	17                  	RBracket            
:                   	17                  	Colon               
	                   	18                  	Tab                 
c                   	18                  	Identifier          
=                   	18                  	Equals              
2                   	18                  	Literal             
else                	19                  	Keyword             
:                   	19                  	Colon               
	                   	20                  	Tab                 
c                   	20                  	Identifier          
=                   	20                  	Equals              
1                   	20                  	Literal             
